timestamp,temperature_c,power_w,power_limit_w,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,sm_clock_mhz,memory_clock_mhz,pstate
2026/09/21 07:44:42.981, 78, 129.63, 170.00, 7399, 12288, 88, 19, 1800, 7301, P2
2026/09/21 07:44:48.347, 79, 136.37, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:44:53.701, 79, 130.72, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:44:59.054, 79, 134.16, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:45:04.398, 79, 134.87, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:45:09.753, 79, 136.39, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:45:15.124, 75, 129.57, 170.00, 7399, 12288, 80, 19, 1800, 7301, P2
2026/09/21 07:45:20.484, 79, 135.00, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:45:25.836, 79, 136.46, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:45:31.202, 79, 130.46, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:45:36.559, 77, 126.46, 170.00, 7399, 12288, 67, 14, 1800, 7301, P2
2026/09/21 07:45:41.923, 79, 134.53, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:45:47.269, 79, 136.38, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:45:52.611, 79, 136.68, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:45:57.955, 79, 134.52, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:46:03.304, 79, 130.36, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:46:08.660, 79, 135.36, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:46:14.012, 78, 134.40, 170.00, 7399, 12288, 99, 24, 1800, 7301, P2
2026/09/21 07:46:19.365, 78, 130.57, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:46:24.709, 78, 129.74, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:46:30.057, 79, 135.75, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:46:35.412, 78, 136.52, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:46:40.782, 79, 135.73, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:46:46.138, 79, 134.54, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:46:51.491, 78, 126.00, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:46:56.864, 78, 133.80, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:47:02.208, 79, 135.63, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:47:07.556, 79, 133.92, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:47:12.896, 79, 133.20, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:47:18.250, 80, 135.24, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:47:23.603, 79, 129.65, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:47:28.947, 79, 135.65, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:47:34.300, 78, 130.50, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:47:39.660, 79, 136.40, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:47:45.004, 79, 134.82, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:47:50.355, 79, 136.45, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:47:55.704, 79, 128.95, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:48:01.053, 79, 129.02, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:48:06.398, 79, 134.16, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:48:11.751, 79, 135.16, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:48:17.098, 78, 131.48, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:48:22.449, 78, 129.91, 170.00, 7399, 12288, 93, 23, 1800, 7301, P2
2026/09/21 07:48:27.797, 78, 127.60, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:48:33.140, 78, 132.64, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:48:38.513, 78, 136.41, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:48:43.867, 78, 128.52, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:48:49.212, 76, 126.11, 170.00, 7399, 12288, 46, 10, 1800, 7301, P2
2026/09/21 07:48:54.566, 79, 134.73, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:48:59.906, 79, 131.10, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:49:05.259, 79, 135.71, 170.00, 7399, 12288, 100, 23, 1800, 7301, P2
2026/09/21 07:49:10.616, 79, 130.32, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:49:15.974, 79, 133.27, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:49:21.326, 80, 136.11, 170.00, 7399, 12288, 99, 24, 1800, 7301, P2
2026/09/21 07:49:26.670, 79, 131.25, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:49:32.012, 79, 133.88, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:49:37.354, 79, 135.95, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:49:42.699, 79, 135.19, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:49:48.051, 79, 136.64, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:49:53.420, 79, 127.55, 170.00, 7399, 12288, 100, 23, 1800, 7301, P2
2026/09/21 07:49:58.779, 79, 132.23, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:50:04.127, 78, 131.92, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:50:09.474, 79, 135.66, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:50:14.825, 79, 136.19, 170.00, 7399, 12288, 100, 28, 1800, 7301, P2
2026/09/21 07:50:20.188, 79, 135.91, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:50:25.531, 79, 132.76, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:50:30.902, 80, 131.29, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:50:36.261, 79, 133.43, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:50:41.623, 79, 136.32, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:50:47.018, 79, 133.21, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:50:52.363, 79, 134.65, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:50:57.709, 80, 130.88, 170.00, 7399, 12288, 95, 24, 1800, 7301, P2
2026/09/21 07:51:03.053, 80, 133.90, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:51:08.401, 79, 131.99, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:51:13.745, 78, 128.86, 170.00, 7399, 12288, 84, 20, 1800, 7301, P2
